Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
LAURUSLABS,"21,343",396,445,104,75.2,0.51,22.2,20.4,2.00
DCXINDIA,"3,800",341,393,45.7,61.3,0.00,13.1,20.9,2.00
CUMMINSIND,"73,926","2,667","2,860",52.2,204,0.92,26.8,21.6,2.00
BSOFT,"21,753",788,862,85.0,48.8,0.43,17.8,13.8,2.00
MARICO,"68,509",530,595,65.1,33.1,0.85,43.1,35.1,1.00
FIVESTAR,"21,068",721,877,27.4,162,0.00,14.4,15.0,1.00
ELECON,"11,410","1,017","1,122",41.4,107,0.20,24.5,19.1,2.00
LTIM,"1,62,349","5,482","6,443",36.2,588,1.09,38.4,28.5,1.00
LICI,"6,68,584","1,057","1,175",16.6,96.7,0.38,149,130,10.0
COALINDIA,"2,74,858",446,488,17.7,28.1,5.45,91.2,89.4,10.0
IEX,"13,081",147,173,39.8,9.56,0.68,51.8,39.4,1.00
JUBLPHARMA,"9,159",575,627,,147,0.86,4.28,2.68,1.00
BDL,"33,700","1,839","1,939",70.6,184,0.52,15.6,11.3,10.0
DIVISLAB,"95,728","3,606","4,074",70.2,475,0.82,19.3,14.8,2.00
JKIL,"5,364",709,714,17.7,325,0.51,17.4,12.4,5.00
SHYAMMETL,"18,402",659,772,50.5,157,0.27,7.63,7.30,10.0
DOLLAR,"2,771",489,508,45.4,131,0.61,9.79,8.33,2.00
EIDPARRY,"11,331",638,664,53.8,161,1.50,12.3,9.93,1.00
BERGEPAINT,"65,913",565,680,64.0,39.1,0.48,24.0,20.6,1.00
HEIDELBERG,"4,787",211,247,31.0,61.4,3.31,10.7,6.55,10.0
MOTHERSON,"77,997",115,123,119,46.4,0.55,2.86,2.47,1.00
TITAGARH,"13,329",990,"1,249",50.0,103,0.05,24.0,14.6,2.00
QUESS,"7,937",535,582,27.6,152,1.50,9.16,8.34,10.0
PRESTIGE,"49,204","1,227","1,440",219,169,0.13,7.15,5.00,10.0
CONCORDBIO,"15,755","1,506","1,608",52.4,129,0.00,26.2,19.6,1.00
VSTTILLERS,"2,855","3,305","4,196",22.6,"1,009",0.75,15.9,11.7,10.0
HONAUT,"33,855","38,297","44,150",72.8,"3,772",0.25,19.5,14.5,10.0
CIEINDIA,"17,413",459,580,31.0,130,0.00,15.0,12.0,10.0
SOMANYCERA,"2,775",677,819,27.1,194,0.44,13.0,11.9,2.00
NH,"28,487","1,394","1,445",79.5,78.5,0.18,22.7,19.2,10.0
TTKPRESTIG,"10,451",754,833,44.5,140,0.80,18.9,14.2,1.00
AUTOAXLES,"2,890","1,913","2,693",16.7,525,1.68,30.8,23.4,10.0
GUJGASLTD,"39,765",578,621,36.1,102,1.14,31.3,24.3,2.00
GODFRYPHLP,"14,487","2,786","2,808",17.7,656,1.56,20.9,17.2,2.00
RADICO,"21,559","1,612","1,885",91.2,168,0.18,11.6,9.82,2.00
BSE,"30,715","2,269","2,599",107,198,0.54,10.4,7.33,2.00
VIJAYA,"6,724",658,719,59.8,58.3,0.15,18.2,16.3,1.00
GHCL,"4,910",513,660,6.73,286,3.40,35.6,31.3,10.0
GALAXYSURF,"8,659","2,442","2,989",39.8,371,0.88,21.4,18.2,10.0
EXIDEIND,"27,982",329,354,28.6,149,0.61,10.7,7.97,1.00
FUSION,"5,596",556,691,11.5,256,0.00,14.2,21.2,10.0
GRINDWELL,"23,867","2,156","2,495",60.9,166,0.67,26.8,20.1,5.00
FIEMIND,"3,333","2,533","2,590",21.3,607,0.60,26.5,19.8,10.0
JKPAPER,"6,389",377,452,7.31,246,2.11,25.0,25.7,10.0
KIMS,"18,072","2,258","2,310",69.0,220,0.00,22.6,16.8,10.0
JISLJALEQS,"3,920",57.8,73.4,54.5,71.3,0.00,5.66,1.20,2.00
LUPIN,"72,432","1,590","1,701",35.2,423,0.25,3.18,2.25,2.00
BALRAMCHIN,"7,650",379,486,15.7,152,0.78,10.2,9.75,1.00
RUPA,"2,222",279,309,34.9,114,1.08,7.52,5.88,1.00
SUVENPHAR,"17,107",672,768,44.8,76.5,0.15,33.6,25.8,1.00
POWERINDIA,"24,970","5,892","6,528",247,289,0.06,12.9,8.03,2.00
NMDC,"69,499",237,253,12.1,82.5,2.80,21.2,16.1,1.00
CREDITACC,"23,717","1,490","1,796",17.6,364,0.00,12.1,17.8,10.0
CARBORUNIV,"20,525","1,079","1,305",58.5,113,0.32,21.1,16.7,1.00
IGL,"30,401",434,516,17.9,115,2.98,26.7,20.0,2.00
RAJESHEXPO,"9,733",330,708,,172,0.30,2.00,0.61,1.00
LAOPALA,"3,909",352,480,29.3,74.6,1.41,22.1,16.0,2.00
PIIND,"55,864","3,682","4,011",34.4,520,0.27,21.7,18.4,1.00
NTPC,"3,25,517",336,348,17.9,149,2.16,10.6,13.0,10.0
