Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
AJANTPHARM,"26,651","2,117","2,355",35.0,267,1.72,21.3,17.0,2.00
RELINFRA,"9,204",232,252,,190,0.00,0.74,-8.12,10.0
IFCI,"11,651",46.8,71.8,,2.18,0.00,6.42,-53.7,10.0
STYRENIX,"2,664","1,514","1,650",16.0,433,6.85,30.0,22.9,10.0
RBA,"5,453",110,138,,37.7,0.00,0.66,-3.72,10.0
SUPREMEIND,"51,766","4,075","4,888",51.1,318,0.64,27.7,21.1,2.00
WELENT,"4,430",320,383,13.5,165,0.31,12.0,10.6,10.0
ENDURANCE,"25,825","1,836","2,319",50.6,249,0.39,17.1,12.7,10.0
RELIGARE,"7,532",228,281,,65.4,0.00,0.08,-0.48,10.0
HFCL,"15,802",111,117,64.5,24.0,0.18,12.8,8.90,1.00
TRITURBINE,"14,160",445,498,75.4,22.7,0.28,25.0,18.4,1.00
BALAMINES,"7,197","2,221","2,736",49.1,443,0.45,23.8,17.6,2.00
SANSERA,"5,439","1,015","1,090",30.7,236,0.24,14.7,13.5,2.00
RECLTD,"1,21,997",463,524,9.35,246,2.69,9.11,20.4,10.0
ACI,"9,794",794,809,24.5,127,0.31,45.6,44.9,2.00
ZYDUSWELL,"10,125","1,591","1,721",184,631,0.31,1.19,1.65,10.0
INDOCO,"3,435",373,417,31.1,116,0.59,17.3,14.7,2.00
GAEL,"9,433",411,421,29.1,112,0.17,17.9,14.5,1.00
POLYPLEX,"2,749",876,"1,644",,222,2.63,41.8,41.3,10.0
DEEPAKFERT,"6,474",513,715,23.3,239,1.97,13.3,10.2,10.0
RPOWER,"9,699",25.4,33.2,,23.8,0.00,-1.32,-4.30,10.0
JWL,"15,735",382,434,58.4,25.6,0.13,24.4,16.8,10.0
SUNDARMFIN,"46,550","4,190","4,246",36.8,740,0.64,8.49,14.8,10.0
ZENSARTECH,"12,086",534,644,23.4,111,0.93,17.1,13.5,2.00
NAVA,"7,394",510,535,33.8,245,1.14,10.8,8.97,2.00
JUBLFOOD,"32,078",486,587,119,34.0,0.24,17.5,18.9,2.00
RALLIS,"4,790",246,274,48.3,93.9,0.00,7.77,5.37,1.00
KSB,"13,845","3,977","4,216",67.2,329,0.37,23.8,17.3,10.0
GOKEX,"5,167",852,"1,023",33.4,162,0.12,22.0,20.1,5.00
DCBBANK,"4,122",132,163,7.89,147,0.94,6.71,10.8,10.0
ACC,"50,515","2,690","2,760",30.4,784,0.35,9.29,6.50,10.0
RESPONIND,"7,926",297,365,312,26.1,0.03,4.79,1.64,1.00
SARDAEN,"7,492",213,265,14.6,93.7,0.36,28.4,22.2,1.00
PDSL,"6,976",529,666,89.8,15.4,0.96,42.6,41.3,2.00
GMRINFRA,"53,599",88.8,94.4,,39.4,0.00,0.03,-0.69,1.00
HINDOILEXP,"2,605",197,258,15.2,74.8,0.00,17.4,19.1,10.0
COLPAL,"68,827","2,531","2,622",54.0,64.8,1.54,79.1,61.2,1.00
COROMANDEL,"31,697","1,077","1,288",17.9,305,1.12,38.8,28.6,1.00
VAIBHAVGBL,"7,481",452,543,97.9,36.4,1.31,15.3,16.7,2.00
MCX,"18,850","3,696","3,990","8,727",297,0.52,10.9,8.24,10.0
APARINDS,"25,313","6,302","6,542",30.9,571,0.65,53.1,33.1,10.0
TV18BRDCST,"11,212",65.4,68.8,365,18.0,0.00,2.41,1.88,2.00
INDIAMART,"16,305","2,663","3,336",47.9,257,0.37,17.5,13.9,10.0
UBL,"44,816","1,695","1,914",132,152,0.44,11.4,8.26,1.00
FLUOROCHEM,"40,313","3,670","3,920",58.5,526,0.11,30.3,27.8,1.00
DHANI,"2,491",41.3,49.1,209,95.8,0.00,1.73,0.43,2.00
TATVA,"2,940","1,257","1,938",72.0,306,0.16,8.06,9.01,10.0
JKLAKSHMI,"11,059",940,"1,000",29.2,241,0.40,15.9,12.4,5.00
METROBRAND,"30,886","1,136","1,441",81.7,62.0,0.35,25.3,26.6,5.00
KEI,"28,783","3,190","3,420",52.3,317,0.09,25.8,20.2,2.00
HATHWAY,"4,204",23.8,28.0,55.3,25.9,0.00,1.93,1.40,2.00
CSBBANK,"6,253",360,422,10.9,185,0.00,6.45,18.7,10.0
NAVINFLUOR,"15,520","3,130","4,950",65.4,447,0.22,20.3,15.2,2.00
AUBANK,"39,270",587,813,24.7,165,0.17,7.39,15.4,10.0
PAGEIND,"39,929","35,810","43,599",74.0,"1,372",0.69,53.8,46.4,10.0
PFC,"1,34,331",407,478,9.80,226,2.63,9.08,18.2,10.0
JPPOWER,"13,090",19.1,24.0,26.8,16.1,0.00,5.02,0.55,10.0
ANURAS,"10,353",944,"1,250",73.8,221,0.27,10.6,8.25,10.0
IBULHSGFIN,"12,565",203,220,13.5,227,0.60,9.17,5.17,2.00
SRF,"71,031","2,396","2,637",46.8,333,0.30,24.6,23.9,10.0
INOXWIND,"20,202",620,645,,67.5,0.00,-2.92,-17.2,10.0
ELECTCAST,"10,409",175,204,16.8,75.3,0.51,10.6,8.28,1.00
RTNINDIA,"11,444",82.8,94.8,23.8,6.03,0.00,-0.38,-4.29,2.00
WELCORP,"14,737",563,625,27.7,128,0.87,16.0,13.8,5.00
GILLETTE,"21,128","6,483","7,336",54.0,316,1.31,52.0,38.5,10.0
GODREJIND,"27,407",814,912,,50.0,0.00,8.41,13.0,1.00
CGCL,"20,923","1,014","1,049",110,167,0.03,8.23,5.49,2.00
GARFIBRES,"7,190","3,528","3,847",38.9,552,0.10,19.4,15.6,10.0
DISHTV,"4,244",23.0,26.0,30.9,-6.45,0.00,,,1.00
IDEA,"83,924",17.2,18.4,,-18.6,0.00,-3.73,,10.0
JPASSOCIAT,"5,687",23.2,27.2,,19.8,0.00,3.69,-16.3,2.00
ALLCARGO,"8,291",84.4,98.0,36.6,12.6,0.92,11.9,11.4,2.00
ZEEL,"16,655",173,300,45.0,102,0.00,10.9,3.81,1.00
POLYCAB,"71,598","4,767","5,733",41.1,479,0.42,27.0,20.0,10.0
